filename,prediction,confidence,label,correct
Liar Girl-vocals-C# minor-148bpm-441hz.wav,1,2.1020753784940496,1,1
BOOWY 【BEAT EMOTION】　02 ONLY YOU　 vinyl   ハイレゾ-vocals-C# minor-186bpm-443hz.wav,1,3.0895861271389036,1,1
BOOWY 【BEAT EMOTION】　11 OUR REVOLUTION　 vinyl   ハイレゾ-vocals-E major-139bpm-444hz.wav,1,3.183097807760692,1,1
BOOWY 【BEAT EMOTION】　09  RAIN IN MY HEART　vinyl   ハイレゾ-vocals-C major-141bpm-444hz.wav,1,3.433691283535463,1,1
Kisetsu Ga Kimi Dake Wo Kaeru-vocals-B minor-63bpm-441hz.wav,1,1.84589226070526,1,1
BOOWY 【BEAT EMOTION】　12 SENSITIVE LOVE　 vinyl   ハイレゾ-vocals-D major-160bpm-443hz.wav,1,3.504551673686134,1,1
Gigolo & Gigolet-vocals-D major-154bpm-441hz.wav,1,2.433840752448499,1,1
BOOWY 【BEAT EMOTION】　08  DOWN TOWN SHUFFLE　 vinyl   ハイレゾ-vocals-C major-125bpm-444hz.wav,1,3.556283698588012,1,1
Fantastic Story-vocals-B minor-147bpm-440hz.wav,1,3.2082362834722344,1,1
BOOWY 【BEAT EMOTION】  01 B・Blue 　 vinyl   ハイレゾ-vocals-A major-166bpm-443hz.wav,1,3.1141768800670455,1,1
Memory-vocals-C major-145bpm-441hz.wav,1,2.1994813558676887,1,1
BOOWY 【BEAT EMOTION】05  DON'T ASK ME　 vinyl   ハイレゾ-vocals-A minor-140bpm-445hz.wav,1,3.161333757562164,1,1
BOOWY 【BEAT EMOTION】　06 B・E・L・I・E・V・E　vinyl   ハイレゾ-vocals-A major-104bpm-443hz.wav,1,4.078524171816466,1,1
BOOWY 【BEAT EMOTION】04  BEAT SWEET　 vinyl   ハイレゾ-vocals-G major-129bpm-444hz.wav,1,3.427473392743188,1,1
Marionette-vocals-B major-159bpm-441hz.wav,1,2.032168482443997,1,1
Rendez-Vous (Live In Hamburg July 1987)-vocals-G major-152bpm-441hz.wav,1,2.1624552675469157,1,1
BOOWY 【BEAT EMOTION】03 RUNAWAY TRAIN　 vinyl   ハイレゾ-vocals-A minor-150bpm-443hz.wav,1,4.437411162149092,1,1
Psychopath-vocals-C minor-129bpm-441hz.wav,1,3.1053342827133052,1,1
BOOWY 【BEAT EMOTION】　10 DRAMATIC  DRASTIC　 vinyl   ハイレゾ-vocals-C major-131bpm-444hz.wav,1,4.250339442201494,1,1
Celluloid Doll-vocals-A major-142bpm-441hz.wav,1,2.550032577879491,1,1
Plastic Bomb-vocals-C major-191bpm-440hz.wav,1,1.0000003389656549,0,0
BOOWY 【BEAT EMOTION】　07  SUPER CALIFRAGILISTIC EXPIARI DOCIOUS　vinyl   ハイレゾ-vocals-F major-161bpm-443hz.wav,1,3.839068004694721,1,1
Longer Than Forever-vocals-G major-158bpm-441hz.wav,1,2.0723513028221854,1,1
